length_url,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,status,url_numeric_domain,url_numeric_path_length,url_numeric_num_subdomains,url_numeric_has_ip,url_numeric_has_special_chars
52,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,7534,21,1,0,0
88,7,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,3653,33,2,0,0
74,2,0,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,0,0,0,0,3631,27,0,0,0
46,2,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,5562,23,1,0,1
54,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,4775,30,1,0,0
54,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,522,26,0,0,0
38,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1315,14,1,0,0
67,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,5872,45,1,0,1
62,5,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,1,2022,42,0,0,1
59,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,3520,35,0,0,0
57,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1163,11,2,1,0
32,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3196,13,0,0,1
46,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,6609,14,1,0,0
37,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1315,13,1,0,0
36,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1275,0,1,1,0
52,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,1262,27,0,0,0
32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,372,1,1,1,0
34,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3942,15,0,0,0
27,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4862,1,2,0,0
92,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,2450,63,1,0,1
102,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,8016,83,1,0,1
32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6445,1,1,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6636,1,1,0,0
119,4,1,0,1,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,1,1973,60,1,0,1
59,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,7384,30,1,0,0
54,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3400,28,0,0,1
151,3,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1797,134,0,0,1
84,3,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,5980,52,1,0,1
55,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,2560,38,1,0,1
18,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,397,1,0,0,0
39,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5508,15,1,0,0
28,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7472,1,1,0,0
32,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7615,9,1,0,0
16,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3544,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1327,4,0,0,0
29,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6026,1,2,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,7416,1,1,0,0
41,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,8053,18,1,0,0
22,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,694,8,0,0,0
52,3,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,0,1,5720,31,1,0,0
38,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,6770,11,1,0,0
30,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5643,1,2,0,0
76,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,3701,19,3,0,0
430,24,0,1,2,9,0,10,18,0,0,21,0,5,0,9,0,0,1,0,1,1,177,10,2,1,0
37,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3265,11,1,0,0
73,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3524,43,1,0,1
56,2,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,3,1,0,0,1,4415,34,1,0,0
70,1,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,953,49,0,0,1
70,3,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,247,43,1,0,0
52,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,7987,26,1,0,1
31,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5422,1,1,0,0
90,4,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,1,0,1,6361,63,1,0,0
45,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1109,23,1,0,0
55,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,4748,28,1,1,0
65,3,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,6386,46,1,1,1
41,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,3977,1,1,1,0
71,2,1,0,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,1,2361,26,0,0,0
83,2,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,1,1194,46,1,0,0
73,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,3028,48,0,0,1
44,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2916,7,1,1,0
114,4,1,0,1,0,0,1,0,0,0,8,0,2,0,0,0,0,1,0,1,1,6647,14,1,0,0
127,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1,3701,19,3,0,0
99,4,0,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3523,4,1,0,0
56,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,1,6232,29,1,0,0
51,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,6680,26,1,0,0
51,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,2263,30,1,0,0
40,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,8120,8,1,0,0
33,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,5712,12,2,0,0
88,2,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,3398,60,1,0,1
122,2,0,0,0,0,0,0,13,0,0,5,0,1,0,0,0,0,1,2,0,0,5952,96,1,0,0
53,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,4621,26,1,0,0
46,6,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,314,1,5,1,0
36,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,427,0,1,0,0
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7494,1,1,0,0
48,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,6898,24,1,0,1
101,2,0,0,1,2,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,1,2802,39,0,0,0
41,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,7223,15,1,0,0
43,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3905,1,3,1,0
15,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,548,0,0,0,0
42,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7958,25,1,0,1
51,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1493,29,0,0,1
48,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,5078,14,1,0,0
49,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,341,23,0,0,0
25,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1405,1,0,0,0
49,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,7977,26,1,0,1
48,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3335,16,1,0,1
108,4,1,1,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,1,0,1,7543,29,1,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,2352,12,0,0,0
80,4,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,7501,53,2,0,1
36,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7506,12,1,0,1
28,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6534,1,1,0,0
33,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,4038,11,1,0,0
23,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6712,1,2,0,0
77,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,7429,51,1,0,1
342,5,6,1,0,5,0,4,0,0,8,5,0,1,0,2,0,1,1,0,0,1,5488,315,2,0,1
38,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,131,1,1,1,0
73,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,6535,44,1,0,1
33,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,8107,10,1,0,0
67,3,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,1,6031,43,1,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2219,13,1,0,0
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,8056,1,1,0,0
26,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6129,1,1,0,0
39,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1439,24,0,0,0
62,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,6725,33,2,0,0
41,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3246,21,0,0,1
40,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3295,1,1,0,0
51,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6474,18,1,0,1
59,2,3,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0,7424,39,1,0,1
50,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,5072,22,1,0,0
52,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,815,20,1,1,0
43,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,2085,21,0,0,1
94,3,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,1014,45,1,1,1
60,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,4551,38,1,0,0
18,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,539,0,0,0,0
204,2,1,0,1,0,0,2,3,0,0,5,0,1,0,0,0,0,0,0,0,1,4116,23,1,0,0
94,7,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,3653,43,2,0,0
41,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1893,1,3,0,0
19,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2347,1,1,1,0
35,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,945,6,0,1,0
63,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,2761,30,0,0,0
53,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,6269,25,1,0,0
75,4,3,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,3377,24,3,0,0
35,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,4090,0,1,1,0
210,4,1,0,1,10,0,11,0,0,6,3,0,1,0,0,0,0,2,0,0,1,5733,4,1,0,0
44,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2756,23,0,0,1
150,5,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1151,9,3,0,0
39,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,6726,10,1,0,1
64,2,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,1,7290,42,1,0,1
106,4,4,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,1,6046,39,2,0,0
34,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,735,6,1,0,0
65,2,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,1315,41,1,0,0
60,3,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1,4323,39,1,1,1
25,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,2171,4,0,0,0
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,4366,11,1,0,0
38,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,5042,16,1,0,0
129,2,1,0,1,0,0,5,7,0,0,6,0,1,0,0,0,0,0,0,0,1,2473,27,0,0,0
52,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,5061,29,1,0,1
30,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,78,9,2,1,0
33,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1366,1,1,0,0
118,3,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,807,84,1,0,1
27,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1328,0,0,0,0
78,3,0,0,0,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,1704,55,1,0,0
35,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1767,1,1,1,0
32,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3868,7,0,0,0
64,5,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,2293,18,3,1,1
38,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1682,1,1,1,0
24,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6350,1,2,0,0
68,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,7952,46,1,0,0
126,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,1,3701,20,3,0,0
41,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1315,17,1,0,0
48,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1315,24,1,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6751,1,1,0,0
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5808,1,1,0,0
50,3,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,7969,25,1,1,0
126,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1,3701,19,3,0,0
39,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,6178,20,1,0,0
102,1,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,2093,80,0,0,1
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6332,1,1,1,0
86,3,1,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,1,0,0,1,6725,34,2,0,0
78,2,4,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,4368,54,1,0,1
29,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5795,1,2,0,0
33,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5985,6,1,0,0
27,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,517,8,0,0,0
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4490,1,1,0,0
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,7500,11,1,0,0
28,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,526,0,1,0,0
102,3,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,1,3880,2,1,0,0
43,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,8025,18,1,0,0
27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5748,1,1,0,0
101,2,9,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,3763,77,1,0,1
60,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4971,25,1,0,1
38,3,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5697,10,1,0,0
19,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2017,1,0,0,0
137,3,0,0,0,0,0,0,1,0,34,4,0,1,0,0,0,0,1,0,0,0,6868,114,1,0,0
263,14,1,0,1,1,0,1,2,0,2,5,0,1,0,1,0,0,1,1,0,1,6919,47,12,1,0
22,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,694,8,0,0,0
89,3,0,0,1,1,0,1,1,0,0,6,0,1,0,1,0,0,0,1,0,1,2509,36,0,0,0
28,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5806,1,1,0,0
49,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,973,16,1,0,0
45,4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3862,1,3,1,0
30,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,743,1,1,0,0
54,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,297,37,0,0,1
29,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4585,0,1,0,0
