length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,length_words_raw,char_repeat,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,ratio_nullHyperlinks,nb_extCSS,ratio_extRedirection,ratio_intMedia,ratio_extMedia,popup_window,safe_anchor,onmouseover,right_clic,empty_title,status
163,14,1,4,9,1,0,2,0,1,0,0,0,3,0,1,0,2,0,0,1,0,0,0,1,0.398773006,0.0,0,0,1,0,0,3,0,0,17,14,3,1,18,7,18,8.0,5.0,8.4,1,0,0,0,1,0,0,0,0.4375,100.0,0.0,0,0.0,0,0,0,1
26,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,2,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,0,0,0.2,94.44444444,5.555555556,0,50.0,0,0,0,0
64,17,1,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.34375,0.0,0,0,0,0,0,2,0,0,4,3,3,6,32,9,32,12.5,6.0,19.0,0,0,0,0,0,0,0,5,0.0,100.0,0.0,0,0.0,0,0,0,1
36,28,1,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.25,0.321428571,0,0,0,0,0,3,0,1,4,1,1,0,11,11,0,5.25,5.25,0.0,0,0,0,0,0,0,0,1,0.294117647,20.0,80.0,0,25.0,0,0,0,1
61,14,0,2,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,2,0,0,1,0.0,0.0,0,0,1,0,0,2,0,1,7,1,10,3,10,10,10,6.285714286,10.0,5.666666667,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0,0.0,0,0,0,1
66,17,1,2,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.212121212,0.0,0,0,0,0,0,2,0,0,6,3,5,3,21,7,21,8.166666667000001,6.0,9.25,0,1,0,0,0,0,0,2,0.0625,0.0,100.0,0,0.0,0,0,0,0
35,26,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,2,3,3,0,19,19,0,11.0,11.0,0.0,0,0,0,0,0,0,0,0,0.4,0.0,100.0,0,45.45454545,0,0,0,0
113,24,0,5,0,0,0,0,0,1,2,0,0,10,0,1,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,1,0,0,3,0,0,16,4,20,2,20,20,10,5.4375,20.0,4.466666667,0,0,0,1,0,0,0,0,0.146341463,97.43589744,2.564102564,0,0.0,0,0,0,1
41,34,0,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,6,3,2,0,6,6,0,4.166666667,4.166666667,0.0,0,1,0,0,0,0,0,0,0.7142857140000001,0.0,0.0,0,8.333333332999999,0,0,0,0
23,12,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,4,3,1,3,3,3,3,2.5,2.333333333,3.0,0,0,0,0,0,0,0,0,0.35,94.73684211,5.263157895,0,17.39130435,0,0,0,0
31,24,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,3,2,5,0,7,7,0,6.0,6.0,0.0,1,0,0,0,0,0,0,0,0.346938776,100.0,0.0,0,22.80701754,0,0,0,0
84,30,0,2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,9,0,26,2,26,26,9,7.222222222,26.0,4.875,4,0,0,0,0,0,0,0,0.0,100.0,0.0,0,100.0,0,0,0,1
29,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,3,0,4,4,8,8,4,5.333333333,6.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
98,26,1,2,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,1,0.295918367,0.0,0,0,0,0,0,2,1,0,10,4,3,2,32,10,32,7.8,7.0,8.142857142999999,2,0,0,0,0,0,0,1,0.0,0.0,0.0,0,60.0,0,0,0,1
15,8,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,1,1,5,0,5,5,0,5.0,5.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0
65,22,0,2,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,8,3,4,3,13,13,9,5.875,8.5,5.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0,76.66666667,0,0,0,0
131,27,0,2,1,0,1,0,0,1,4,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0.030534351,0.0,0,0,0,0,0,2,1,1,14,6,2,1,40,10,40,7.428571429,7.0,7.545454545,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1
50,23,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,5,4,3,7,10,7,10,6.8,5.666666667,8.5,0,0,0,0,0,0,0,0,0.277777778,100.0,0.0,0,25.0,0,0,0,0
51,32,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,3,1,13,10,14,14,10,12.33333333,13.5,10.0,0,0,0,0,0,0,0,1,0.0,0.0,100.0,0,0.0,0,0,0,1
45,11,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.133333333,0.0,0,0,0,0,0,3,0,0,6,4,3,3,9,3,9,4.666666667,3.0,5.5,0,0,0,0,0,0,0,0,0.1,80.95238095,19.04761905,0,94.68085106,1,0,0,0
159,14,1,2,0,0,1,1,0,2,0,0,0,8,0,1,0,1,0,0,0,0,0,0,1,0.270440252,0.0,0,0,0,0,0,2,0,0,12,4,10,3,40,10,40,11.41666667,10.0,11.54545455,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0,0,0,1
44,22,1,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.227272727,0.1363636359999999,0,0,0,0,0,2,1,0,4,3,3,4,14,14,7,7.0,8.5,5.5,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,1
103,19,0,3,1,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.077669903,0.0,0,0,0,0,0,3,0,0,9,2,4,2,44,10,44,9.222222222,7.0,9.857142857,0,0,0,0,0,0,0,2,0.0,100.0,0.0,0,100.0,0,0,0,1
46,20,0,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,7,1,4,2,7,7,7,4.285714286,5.0,3.75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
45,16,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,5,0,2,4,10,9,10,5.8,5.5,6.0,0,1,0,0,0,0,0,0,0.45,100.0,0.0,0,63.63636364,0,0,0,0
51,26,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,4,4,3,4,16,16,11,8.5,9.5,7.5,0,0,0,0,0,0,0,2,0.142857143,38.46153846,61.53846154,0,50.0,0,0,0,1
38,19,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,5,4,3,2,11,11,4,4.6,7.0,3.0,0,0,0,0,0,0,0,3,0.348837209,81.81818182,18.18181818,0,9.677419355,0,0,0,1
81,27,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.283950617,0.0,0,0,0,0,0,2,0,0,5,8,3,2,32,19,32,13.2,11.0,14.66666667,0,0,0,0,0,0,0,0,0.0,80.0,20.0,0,100.0,0,0,0,1
112,31,0,2,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,1,0,0,2,0,1,14,0,10,2,16,16,11,6.285714286,13.0,5.166666667,0,0,0,0,0,0,0,1,0.03125,9.090909091,90.90909091,0,71.42857143,0,0,0,0
39,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,4,1,5,4,9,6,9,6.0,5.5,6.5,2,1,0,0,0,0,0,1,0.0,100.0,0.0,0,100.0,0,0,0,1
99,15,0,2,2,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.0808080809999999,0.0,0,0,0,0,0,2,0,0,11,2,4,1,16,6,16,7.0,5.0,7.444444444,1,1,0,0,0,0,0,4,0.0,0.0,100.0,0,0.0,0,0,0,1
45,27,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,4,3,3,3,19,19,5,7.5,11.0,4.0,0,0,0,0,0,0,0,0,0.333333333,100.0,0.0,0,90.0,0,0,0,0
60,35,0,5,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.033333333,0.057142857,0,0,0,0,0,3,1,1,8,3,1,2,18,18,7,5.25,7.0,3.5,2,0,0,0,0,0,0,1,0.176470588,20.0,80.0,0,25.0,0,0,0,1
74,19,0,3,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0.081081081,0.0,0,0,0,0,0,3,0,0,14,2,7,1,9,7,9,3.571428571,7.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,0
61,18,0,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,8,3,3,4,8,5,8,5.375,4.0,6.2,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,57.14285714,0,0,0,0
40,32,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.125,0.15625,0,0,0,0,0,3,0,1,4,1,1,0,15,15,0,6.25,6.25,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
52,24,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.038461538,0.0,0,0,0,0,0,3,0,0,5,5,3,4,16,16,8,7.4,9.5,6.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
88,24,0,7,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,1,0,0,3,0,1,11,3,5,3,10,7,10,6.0,6.0,6.0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0,0.0,0,0,0,1
74,12,0,2,0,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,0,0,0,0,1,0.027027027,0.0,0,0,0,0,0,2,0,0,7,2,8,4,10,8,10,8.142857142999999,8.0,8.166666667000001,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,100.0,0,0,0,0
46,16,0,2,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.065217391,0.0,0,0,0,0,0,2,1,0,6,4,3,3,8,8,7,5.0,5.5,4.75,0,0,0,0,0,0,0,0,0.36,66.66666667,33.33333333,0,96.4504284,0,0,0,0
54,17,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,5,4,3,3,13,9,13,7.8,6.0,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,0
54,21,0,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1,0,5,3,7,6,10,10,9,7.8,8.5,7.333333333,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0,50.0,0,0,0,1
38,16,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,5,0,2,3,9,9,4,4.4,5.5,3.666666667,0,1,0,0,0,0,0,0,0.291666667,100.0,0.0,0,70.37037037,0,0,0,0
67,15,0,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,8,6,3,3,10,7,10,6.125,5.0,6.5,0,0,0,0,0,0,0,1,0.074074074,100.0,0.0,0,23.68421053,0,0,0,0
62,13,0,5,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,7,0,10,2,10,10,9,6.0,10.0,5.333333333,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
59,17,0,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.06779661,0.0,0,0,0,0,0,3,0,0,7,1,13,3,13,13,8,6.0,13.0,4.833333333,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0,100.0,0,0,0,1
57,38,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.01754386,0.026315789,0,0,0,0,0,3,0,0,5,0,4,4,18,18,5,8.2,10.66666667,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1
32,12,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1,0,3,2,8,3,8,8,7,6.0,8.0,5.0,0,0,0,0,0,0,0,0,0.5,66.66666667,33.33333333,0,100.0,0,0,0,0
46,25,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,4,3,3,4,17,17,7,7.75,10.0,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
37,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,4,0,2,4,9,9,7,5.5,5.5,5.5,0,1,0,0,0,0,0,0,0.428571429,100.0,0.0,0,74.07407407,0,0,0,0
36,29,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.027777778,0.034482759,0,0,0,0,0,2,0,1,2,1,8,0,16,16,0,12.0,12.0,0.0,0,1,0,0,0,0,0,0,0.846153846,0.0,0.0,0,14.28571429,0,0,0,1
52,18,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.038461538,0.0,0,0,0,0,0,2,0,0,7,1,14,2,14,14,5,5.0,14.0,3.5,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,1
32,24,1,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.25,0.333333333,0,0,0,0,0,2,0,1,2,8,8,0,11,11,0,9.5,9.5,0.0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,1
34,11,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,2,2,7,14,14,7,14,10.5,7.0,14.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,0
27,19,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,2,3,3,0,9,9,0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0.346153846,0.0,100.0,0,10.0,0,0,0,0
92,22,1,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0.304347826,0.0,0,0,0,0,0,2,1,0,7,5,15,2,32,15,32,10.14285714,15.0,9.333333333,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1
102,12,0,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.058823529,0.0,0,0,0,0,0,2,0,0,13,3,3,3,22,4,22,6.0,3.5,6.454545455,0,0,0,0,0,0,0,2,0.05,0.0,0.0,0,35.71428571,0,0,0,0
32,23,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,2,3,3,0,15,15,0,9.0,9.0,0.0,0,0,0,0,0,0,0,3,0.085365854,11.62790698,88.37209302,0,81.03448276,0,0,0,0
29,20,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,2,4,3,0,12,12,0,7.5,7.5,0.0,0,0,0,0,0,0,0,0,0.12,0.0,0.0,0,20.0,0,0,0,0
119,24,0,4,1,0,1,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0.008403361,0.0,0,0,0,0,0,3,1,0,15,3,2,2,17,17,13,6.266666667000001,9.5,5.769230769,3,0,0,0,0,0,0,2,0.4,100.0,0.0,0,82.60869565,0,0,0,1
59,21,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0.06779661,0.0,0,0,0,0,0,2,0,0,6,4,3,4,13,13,8,7.0,8.0,6.5,1,0,0,0,0,0,0,0,0.25,95.12195122,4.87804878,0,50.0,0,0,0,0
